angle_deg,inner_radius,outer_radius,thickness,inner_radius_mm,outer_radius_mm,thickness_mm
0.000,873.387085,1481.016376,607.629292,17.467742,29.620328,12.152586
1.000,403.354041,1481.034700,1077.680659,8.067081,29.620694,21.553613
2.000,403.347650,1481.053024,1077.705375,8.066953,29.621060,21.554107
3.000,403.341259,1481.071348,1077.730090,8.066825,29.621427,21.554602
4.000,403.334867,1481.089672,1077.754805,8.066697,29.621793,21.555096
5.000,403.328476,1481.107996,1077.779520,8.066570,29.622160,21.555590
6.000,403.322085,1481.126320,1077.804235,8.066442,29.622526,21.556085
7.000,403.315694,1481.144644,1077.828950,8.066314,29.622893,21.556579
8.000,403.309303,1481.162968,1077.853665,8.066186,29.623259,21.557073
9.000,403.302911,1481.181292,1077.878381,8.066058,29.623626,21.557568
10.000,403.296520,1481.199616,1077.903096,8.065930,29.623992,21.558062
11.000,403.290129,1481.217940,1077.927811,8.065803,29.624359,21.558556
12.000,403.283738,1481.236264,1077.952526,8.065675,29.624725,21.559051
13.000,403.277347,1481.254588,1077.977241,8.065547,29.625092,21.559545
14.000,403.270956,1481.272912,1078.001956,8.065419,29.625458,21.560039
15.000,403.264564,1481.291236,1078.026671,8.065291,29.625825,21.560533
16.000,403.258173,1481.309560,1078.051387,8.065163,29.626191,21.561028
17.000,403.251782,1481.327884,1078.076102,8.065036,29.626558,21.561522
18.000,403.245391,1481.346208,1078.100817,8.064908,29.626924,21.562016
19.000,403.239000,1481.364532,1078.125532,8.064780,29.627291,21.562511
20.000,403.232608,1481.382856,1078.150247,8.064652,29.627657,21.563005
21.000,403.226217,1481.401180,1078.174962,8.064524,29.628024,21.563499
22.000,403.219826,1481.419504,1078.199678,8.064397,29.628390,21.563994
23.000,403.213435,1481.437828,1078.224393,8.064269,29.628757,21.564488
24.000,403.207044,1481.456152,1078.249108,8.064141,29.629123,21.564982
25.000,403.200653,1481.474476,1078.273823,8.064013,29.629490,21.565476
26.000,403.194261,1481.492800,1078.298538,8.063885,29.629856,21.565971
27.000,403.187870,1481.511123,1078.323253,8.063757,29.630222,21.566465
28.000,403.181479,1481.529447,1078.347968,8.063630,29.630589,21.566959
29.000,403.175088,1481.547771,1078.372684,8.063502,29.630955,21.567454
